FileName	Channel	Chem	Dose	Cond	Treatm	Name	Group
Cy3_Dino_High_Cy5_DMP_Dino_Ctrl_253100010036_1_4.txt	Cy3	Dino	High	Dino_chem	chem	Dino_High_na_Cy3_rep2	DinoHighchem
Cy3_Dino_High_Cy5_DMP_High_253100010023_2_3.txt	Cy3	Dino	High	Dino_chem	chem	Dino_High_na_Cy3_rep3	DinoHighchem
Cy3_Dino_Low_Cy5_Dino_High_253100010007_1_1.txt	Cy5	Dino	High	Dino_chem	chem	Dino_High_na_Cy5_rep1	DinoHighchem
Cy3_PCP_High_Cy5_Dino_High_253100010009_2_1.txt	Cy5	Dino	High	Dino_chem	chem	Dino_High_na_Cy5_rep2	DinoHighchem
Cy3_DMP_Dino_SC_Cy5_Dino_High_253100010017_2_4.txt	Cy5	Dino	High	Dino_chem	chem	Dino_High_na_Cy5_rep3	DinoHighchem
Cy3_Dino_Low_Cy5_DCP_Low_253100010036_2_3.txt	Cy3	Dino	Low	Dino_chem	chem	Dino_Low_na_Cy3_rep1	DinoLowchem
Cy3_Dino_Low_Cy5_Dino_High_253100010007_1_1.txt	Cy3	Dino	Low	Dino_chem	chem	Dino_Low_na_Cy3_rep2	DinoLowchem
Cy3_Dino_Low_Cy5_DMP_Dino_SC_253100010015_2_2.txt	Cy3	Dino	Low	Dino_chem	chem	Dino_Low_na_Cy3_rep3	DinoLowchem
Cy3_PCP_Low_Cy5_Dino_Low_253100010009_1_4.txt	Cy5	Dino	Low	Dino_chem	chem	Dino_Low_na_Cy5_rep1	DinoLowchem
Cy3_DMP_Low_Cy5_Dino_Low_253100010023_2_2.txt	Cy5	Dino	Low	Dino_chem	chem	Dino_Low_na_Cy5_rep2	DinoLowchem
Cy3_DMP_Dino_Ctrl_Cy5_Dino_Low_253100010034_1_1.txt	Cy5	Dino	Low	Dino_chem	chem	Dino_Low_na_Cy5_rep3	DinoLowchem
Cy3_DMP_High_Cy5_DMP_Dino_Ctrl_253100010017_2_2.txt	Cy3	DMP	High	DMP_chem	chem	DMP_High_na_Cy3_rep1	DMPHighchem
Cy3_DMP_High_Cy5_DMP_Low_253100010006_2_4.txt	Cy3	DMP	High	DMP_chem	chem	DMP_High_na_Cy3_rep2	DMPHighchem
Cy3_DMP_High_Cy5_Fluc_High_253100010034_1_3.txt	Cy3	DMP	High	DMP_chem	chem	DMP_High_na_Cy3_rep3	DMPHighchem
Cy3_SDS_High_Cy5_DMP_High_253100010009_1_3.txt	Cy5	DMP	High	DMP_chem	chem	DMP_High_na_Cy5_rep1	DMPHighchem
Cy3_Dino_High_Cy5_DMP_High_253100010023_2_3.txt	Cy5	DMP	High	DMP_chem	chem	DMP_High_na_Cy5_rep2	DMPHighchem
Cy3_DMP_Dino_SC_Cy5_DMP_High_253100010036_2_1.txt	Cy5	DMP	High	DMP_chem	chem	DMP_High_na_Cy5_rep3	DMPHighchem
Cy3_DMP_Low_Cy5_Dino_Low_253100010023_2_2.txt	Cy3	DMP	Low	DMP_chem	chem	DMP_Low_na_Cy3_rep1	DMPLowchem
Cy3_DMP_Low_Cy5_DMP_Dino_SC_253100010034_1_2.txt	Cy3	DMP	Low	DMP_chem	chem	DMP_Low_na_Cy3_rep2	DMPLowchem
Cy3_DMP_Low_Cy5_Fluc_Low_253100010036_2_2.txt	Cy3	DMP	Low	DMP_chem	chem	DMP_Low_na_Cy3_rep3	DMPLowchem
Cy3_DMP_High_Cy5_DMP_Low_253100010006_2_4.txt	Cy5	DMP	Low	DMP_chem	chem	DMP_Low_na_Cy5_rep1	DMPLowchem
Cy3_SDS_Low_Cy5_DMP_Low_253100010009_1_2.txt	Cy5	DMP	Low	DMP_chem	chem	DMP_Low_na_Cy5_rep2	DMPLowchem
Cy3_DMP_Dino_Ctrl_Cy5_DMP_Low_253100010018_1_2.txt	Cy5	DMP	Low	DMP_chem	chem	DMP_Low_na_Cy5_rep3	DMPLowchem
Cy3_DMP_Dino_Ctrl_Cy5_DCP_Fluc_Ctrl_253100010006_2_2.txt	Cy3	DMP	Dino	DMP_Ctrl	Ctrl	DMP_Dino_Ctrl_Cy3_rep1	DMPDinoCtrl
Cy3_DMP_Dino_Ctrl_Cy5_Dino_Low_253100010034_1_1.txt	Cy3	DMP	Dino	DMP_Ctrl	Ctrl	DMP_Dino_Ctrl_Cy3_rep2	DMPDinoCtrl
Cy3_DMP_Dino_Ctrl_Cy5_DMP_Low_253100010018_1_2.txt	Cy3	DMP	Dino	DMP_Ctrl	Ctrl	DMP_Dino_Ctrl_Cy3_rep3	DMPDinoCtrl
Cy3_Dino_High_Cy5_DMP_Dino_Ctrl_253100010036_1_4.txt	Cy5	DMP	Dino	DMP_Ctrl	Ctrl	DMP_Dino_Ctrl_Cy5_rep1	DMPDinoCtrl
Cy3_DMP_High_Cy5_DMP_Dino_Ctrl_253100010017_2_2.txt	Cy5	DMP	Dino	DMP_Ctrl	Ctrl	DMP_Dino_Ctrl_Cy5_rep2	DMPDinoCtrl
Cy3_SDS_PCP_Ctrl_Cy5_DMP_Dino_Ctrl_253100010023_1_4.txt	Cy5	DMP	Dino	DMP_Ctrl	Ctrl	DMP_Dino_Ctrl_Cy5_rep3	DMPDinoCtrl
Cy3_DMP_Dino_SC_Cy5_DCP_Fluc_SC_253100010006_2_3.txt	Cy3	DMP	Dino	DMP_SC	SolvC	DMP_Dino_SC_Cy3_rep1	DMPDinoSolvC
Cy3_DMP_Dino_SC_Cy5_Dino_High_253100010017_2_4.txt	Cy3	DMP	Dino	DMP_SC	SolvC	DMP_Dino_SC_Cy3_rep2	DMPDinoSolvC
Cy3_DMP_Dino_SC_Cy5_DMP_High_253100010036_2_1.txt	Cy3	DMP	Dino	DMP_SC	SolvC	DMP_Dino_SC_Cy3_rep3	DMPDinoSolvC
Cy3_Dino_Low_Cy5_DMP_Dino_SC_253100010015_2_2.txt	Cy5	DMP	Dino	DMP_SC	SolvC	DMP_Dino_SC_Cy5_rep1	DMPDinoSolvC
Cy3_DMP_Low_Cy5_DMP_Dino_SC_253100010034_1_2.txt	Cy5	DMP	Dino	DMP_SC	SolvC	DMP_Dino_SC_Cy5_rep2	DMPDinoSolvC
Cy3_SDS_PCP_SC_Cy5_DMP_Dino_SC_253100010009_1_1.txt	Cy5	DMP	Dino	DMP_SC	SolvC	DMP_Dino_SC_Cy5_rep3	DMPDinoSolvC
Cy3_Esfen_High_Cy5_Acro_Esfen_Ctrl_253100010034_2_3.txt	Cy3	Esfen	High	Esfen_chem	chem	Esfen_High_na_Cy3_rep1	EsfenHighchem
Cy3_Esfen_High_Cy5_Acro_High_253100010014_1_3.txt	Cy3	Esfen	High	Esfen_chem	chem	Esfen_High_na_Cy3_rep2	EsfenHighchem
Cy3_Esfen_High_Cy5_Lind_High_253100010032_2_4.txt	Cy3	Esfen	High	Esfen_chem	chem	Esfen_High_na_Cy3_rep3	EsfenHighchem
Cy3_Esfen_Low_Cy5_Esfen_High_253100010005_2_1.txt	Cy5	Esfen	High	Esfen_chem	chem	Esfen_High_na_Cy5_rep1	EsfenHighchem
Cy3_DCP_High_Cy5_Esfen_High_253100010008_1_1.txt	Cy5	Esfen	High	Esfen_chem	chem	Esfen_High_na_Cy5_rep2	EsfenHighchem
Cy3_Acro_Esfen_SC_Cy5_Esfen_High_253100010016_1_4.txt	Cy5	Esfen	High	Esfen_chem	chem	Esfen_High_na_Cy5_rep3	EsfenHighchem
Cy3_Esfen_Low_Cy5_Acro_Esfen_SC_253100010014_1_2.txt	Cy3	Esfen	Low	Esfen_chem	chem	Esfen_Low_na_Cy3_rep1	EsfenLowchem
Cy3_Esfen_Low_Cy5_Esfen_High_253100010005_2_1.txt	Cy3	Esfen	Low	Esfen_chem	chem	Esfen_Low_na_Cy3_rep2	EsfenLowchem
Cy3_Esfen_Low_Cy5_Lind_Low_253100010035_1_2.txt	Cy3	Esfen	Low	Esfen_chem	chem	Esfen_Low_na_Cy3_rep3	EsfenLowchem
Cy3_DCP_Low_Cy5_Esfen_Low_253100010007_2_4.txt	Cy5	Esfen	Low	Esfen_chem	chem	Esfen_Low_na_Cy5_rep1	EsfenLowchem
Cy3_Acro_Low_Cy5_Esfen_Low_253100010016_2_1.txt	Cy5	Esfen	Low	Esfen_chem	chem	Esfen_Low_na_Cy5_rep2	EsfenLowchem
Cy3_Acro_Esfen_Ctrl_Cy5_Esfen_Low_253100010032_2_1.txt	Cy5	Esfen	Low	Esfen_chem	chem	Esfen_Low_na_Cy5_rep3	EsfenLowchem
Cy3_Fluc_High_Cy5_Acro_High_253100010007_2_3.txt	Cy3	Fluc	High	Fluc_chem	chem	Fluc_High_na_Cy3_rep1	FlucHighchem
Cy3_Fluc_High_Cy5_DCP_Fluc_Ctrl_253100010032_1_2.txt	Cy3	Fluc	High	Fluc_chem	chem	Fluc_High_na_Cy3_rep2	FlucHighchem
Cy3_Fluc_High_Cy5_Fluc_Low_253100010007_1_2.txt	Cy3	Fluc	High	Fluc_chem	chem	Fluc_High_na_Cy3_rep3	FlucHighchem
Cy3_DCP_Fluc_SC_Cy5_Fluc_High_253100010009_2_4.txt	Cy5	Fluc	High	Fluc_chem	chem	Fluc_High_na_Cy5_rep1	FlucHighchem
Cy3_DCP_High_Cy5_Fluc_High_253100010016_1_2.txt	Cy5	Fluc	High	Fluc_chem	chem	Fluc_High_na_Cy5_rep2	FlucHighchem
Cy3_DMP_High_Cy5_Fluc_High_253100010034_1_3.txt	Cy5	Fluc	High	Fluc_chem	chem	Fluc_High_na_Cy5_rep3	FlucHighchem
